document_id,title,url,document_type,tax_type,corpus_id,pdf_path,markdown_path,page_count,extracted_chars,fetch_status,error
0025006-064,個人の事業用資産についての贈与税・相続税の納税猶予及び免除に関する質疑応答事例について（情報）,https://www.nta.go.jp/law/joho-zeikaishaku/sozoku/pdf/0025006-064.pdf,情報・質疑応答PDF,相続税・贈与税,nta_sozoku_joho_zeikaishaku_pdf,data/pdf/nta_sozoku_joho_zeikaishaku_pdf/0025006-064.pdf,data/markdown/nta_sozoku_joho_zeikaishaku_pdf/0025006-064_個人の事業用資産についての贈与税・相続税の納税猶予及び免除に関する質疑応答事例について（情報）.md,107,106099,ok,
0025005-103,非上場株式等についての贈与税・相続税の納税猶予及び免除の特例措置等に関する質疑応答事例について（情報）,https://www.nta.go.jp/law/joho-zeikaishaku/sozoku/pdf/0025005-103.pdf,情報・質疑応答PDF,相続税・贈与税,nta_sozoku_joho_zeikaishaku_pdf,data/pdf/nta_sozoku_joho_zeikaishaku_pdf/0025005-103.pdf,data/markdown/nta_sozoku_joho_zeikaishaku_pdf/0025005-103_非上場株式等についての贈与税・相続税の納税猶予及び免除の特例措置等に関する質疑応答事例について（情報）.md,185,185202,ok,
0024006-159,相続税及び贈与税等に関する質疑応答事例（令和５年度税制改正関係）,https://www.nta.go.jp/law/joho-zeikaishaku/sozoku/pdf/0024006-159.pdf,情報・質疑応答PDF,相続税・贈与税,nta_sozoku_joho_zeikaishaku_pdf,data/pdf/nta_sozoku_joho_zeikaishaku_pdf/0024006-159.pdf,data/markdown/nta_sozoku_joho_zeikaishaku_pdf/0024006-159_相続税及び贈与税等に関する質疑応答事例（令和５年度税制改正関係）.md,30,27524,ok,
0024005-164,相続時精算課税に係る土地又は建物の価額の特例に関する質疑応答事例について（情報）,https://www.nta.go.jp/law/joho-zeikaishaku/sozoku/pdf/0024005-164.pdf,情報・質疑応答PDF,相続税・贈与税,nta_sozoku_joho_zeikaishaku_pdf,data/pdf/nta_sozoku_joho_zeikaishaku_pdf/0024005-164.pdf,data/markdown/nta_sozoku_joho_zeikaishaku_pdf/0024005-164_相続時精算課税に係る土地又は建物の価額の特例に関する質疑応答事例について（情報）.md,38,31330,ok,
